ecli,drug,relevant_countries
ECLI:NL:RBROT:2021:1021,drugs,[' Netherlands']
ECLI:NL:RBLIM:2018:2977,bmk,"[' Netherlands', ' Haiti']"
ECLI:NL:RBLIM:2018:2977,amfetamine,"[' Netherlands', ' Haiti']"
ECLI:NL:RBLIM:2018:2977,apaan,"[' Haiti', ' Netherlands']"
ECLI:NL:RBLIM:2018:2977,pseudo-efedrine,[' Netherlands']
ECLI:NL:RBLIM:2018:2977,drugs,"[' Netherlands', ' Haiti', ' Italy']"
ECLI:NL:RBLIM:2018:2977,pmk,[' Netherlands']
ECLI:NL:RBLIM:2018:2977,mdma,[' Netherlands']
ECLI:NL:RBLIM:2018:2977,cocaïne,[' Netherlands']
ECLI:NL:RBOBR:2017:2217,drugs,[' Netherlands']
ECLI:NL:RBZWB:2015:995,amfetamine,[' Netherlands']
ECLI:NL:RBZWB:2015:995,drugs,[' Netherlands']
ECLI:NL:GHSHE:2014:4594,hashish,"['Netherlands', 'Germany']"
ECLI:NL:RBSHE:2012:BY6600,pmk,[' Netherlands']
ECLI:NL:RBSHE:2012:BY6600,bmk,[' Netherlands']
ECLI:NL:RBSHE:2012:BY6600,apaan,[' Netherlands']
ECLI:NL:RBUTR:2009:BJ2151,hash,"[' Spain', 'Morocco', 'Spain', ' Morocco']"
ECLI:NL:RBUTR:2009:BJ2151,hasj,"[' Spain', 'Morocco', 'Spain', ' Morocco']"
ECLI:NL:GHDHA:2017:3418,drugs,"['Morocco', 'Netherlands']"
ECLI:NL:RBMNE:2017:5217,mdma,[' Netherlands']
ECLI:NL:RBMNE:2017:5219,mdma,[' Netherlands']
ECLI:NL:RBMNE:2014:4793,xtc,"[' United Kingdom', 'Denmark', 'Finland']"
ECLI:NL:RBMNE:2014:4793,pillen,"[' United Kingdom', 'Denmark', 'Finland']"
ECLI:NL:GHSHE:2007:BB7470,bmk,[' Belgium']
ECLI:NL:GHSHE:2007:BB7470,drugs,[' Belgium']
ECLI:NL:GHDHA:2022:87,hasj,"['Morocco', 'Netherlands']"
ECLI:NL:GHAMS:2021:1780,cocaïne,['Sweden']
ECLI:NL:GHAMS:2021:1780,amfetamine,['Sweden']
ECLI:NL:RBROT:2021:3244,drugs,[' Netherlands']
ECLI:NL:RBROT:2019:7604,cocaïne,"['Netherlands', ' Belgium', ' Netherlands']"
ECLI:NL:RBROT:2019:7605,cocaïne,"['Netherlands', ' Belgium', ' Netherlands']"
ECLI:NL:RBROT:2019:7606,cocaïne,"['Netherlands', ' Belgium', ' Netherlands']"
ECLI:NL:RVS:2018:2526,harddrugs,"[' Netherlands', ' Norway']"
ECLI:NL:GHSHE:2017:4835,amfetamine,"['Germany', ' Spain']"
ECLI:NL:GHSHE:2017:4835,xtc,[' Spain']
ECLI:NL:RBGEL:2016:4897,heroïne,['Turkey']
ECLI:NL:GHSHE:2014:391,drugs,[' Netherlands']
ECLI:NL:GHSHE:2014:391,harddrugs,[' Netherlands']
ECLI:NL:GHSHE:2014:391,cannabis,"[' Netherlands', 'Netherlands']"
ECLI:NL:GHSHE:2012:BV9125,drugs,[' Netherlands']
ECLI:NL:GHSHE:2012:BV9125,hasjiesj,[' Netherlands']
ECLI:NL:GHSHE:2012:BV9125,hennep,[' Netherlands']
ECLI:NL:RBROE:2009:BJ5137,drugs,"[' Netherlands', 'Germany', 'Netherlands']"
ECLI:NL:RBHAA:2005:AS5774,pillen,['Thailand']
ECLI:NL:RBHAA:2005:AS5774,xtc,['Thailand']
ECLI:NL:RBHAA:2005:AS5774,xtc-pillen,['Thailand']
ECLI:NL:RBOBR:2019:5939,drugs,"['Poland', 'Germany', 'Netherlands', ' Netherlands']"
ECLI:NL:RBOBR:2019:5939,harddrugs,"['Poland', 'Germany', 'Netherlands', ' Netherlands']"
ECLI:NL:RBOBR:2019:5939,methamfetamine,"['Netherlands', 'Poland']"
ECLI:NL:RBOBR:2019:5939,amfetamine,"['Netherlands', 'Poland']"
ECLI:NL:RBZWB:2017:7073,cocaïne,[' Netherlands']
ECLI:NL:RBZWB:2017:7073,heroïne,[' Netherlands']
ECLI:NL:RBZWB:2017:7073,drugs,[' Netherlands']
ECLI:NL:PHR:2021:1211,drugs,[' Netherlands']
ECLI:NL:RBZWB:2021:2932,hennep,[' Netherlands']
ECLI:NL:RBZWB:2021:2931,hennep,[' Netherlands']
ECLI:NL:RBOVE:2021:804,drugs,[' Netherlands']
ECLI:NL:RBOVE:2021:803,drugs,[' Netherlands']
ECLI:NL:GHARL:2020:10660,hasj,['Colombia']
ECLI:NL:RBMNE:2017:199,harddrugs,"['United Kingdom', ' Belgium']"
ECLI:NL:RBMNE:2017:200,harddrugs,"['United Kingdom', ' Belgium']"
ECLI:NL:RBMNE:2017:210,harddrugs,"['United Kingdom', ' Belgium']"
ECLI:NL:RBMNE:2017:235,harddrugs,"['United Kingdom', ' Belgium']"
ECLI:NL:RBMNE:2017:237,harddrugs,"['United Kingdom', ' Belgium']"
ECLI:NL:RBMNE:2017:239,harddrugs,"['United Kingdom', ' Belgium']"
ECLI:NL:RBMNE:2017:240,harddrugs,"['United Kingdom', ' Belgium']"
ECLI:NL:RBNNE:2016:3166,drugs,['South America']
ECLI:NL:RBOBR:2016:540,drugs,['China']
ECLI:NL:RBOBR:2016:540,apaan,['China']
